"text_code","class_name","teacher_name",category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,text_length,"language","create_time"
"107-2_20811510","程式設計","郭巧玲",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,"CH","2020-05-12 23:39:13"
"107-2_20811610","地圖與地理資訊系統","賴進貴",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237,"CH","2020-05-12 23:39:13"
"107-2_20821500","氣候學及實習","莊振義",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,875,"CH","2020-05-12 23:39:13"
"107-2_20826710","環境水文學及實習","黃誌川",0.0,0.0,0.0,5.0,0.0,66.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,256,"CH","2020-05-12 23:39:13"
"107-2_20826720","野外地形學","林俊全",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,"CH","2020-05-12 23:39:13"
"107-2_20826820","文化、社會與自然","黃宗儀",0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888,"CH","2020-05-12 23:39:13"
"107-2_20826830","空間分析","溫在弘",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558,"CH","2020-05-12 23:39:13"
"107-2_20834150","區域地理","洪廣冀",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,"CH","2020-05-12 23:39:13"
"107-2_20839220","遙測學及實習","黃倬英",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498,"CH","2020-05-12 23:39:13"
"107-2_20839600","地理思想","洪廣冀",0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,13.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1054,"CH","2020-05-12 23:39:13"
"107-2_20840402_10","學士論文下","黃誌川",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,"CH","2020-05-12 23:39:13"
"107-2_20840402_11","學士論文下","黃倬英",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"CH","2020-05-12 23:39:13"
"107-2_20840402_12","學士論文下","莊昀叡",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20840402_14","學士論文下","溫在弘",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"CH","2020-05-12 23:39:13"
"107-2_20840402_15","學士論文下","簡旭伸",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"CH","2020-05-12 23:39:13"
"107-2_20840402_16","學士論文下","莊振義",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"CH","2020-05-12 23:39:13"
"107-2_20840402_18","學士論文下","洪伯邑",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,"CH","2020-05-12 23:39:13"
"107-2_20900220","服務學習二","吳健銘",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608,"CH","2020-05-12 23:39:13"
"107-2_20912000","天氣與氣候","吳明進",4.0,2.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,5.0,23.0,4.0,2.0,0.0,0.0,113,"CH","2020-05-12 23:39:13"
"107-2_20920200","大氣熱力學","吳健銘",0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,216,"CH","2020-05-12 23:39:13"
"107-2_20922210","統計與大氣科學","羅敏輝",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,"CH","2020-05-12 23:39:13"
"107-2_20926400","數值分析","羅敏輝",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521,"CH","2020-05-12 23:39:13"
"107-2_20927120","應用數學二","蔡天鉞",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,"CH","2020-05-12 23:39:13"
"107-2_20927140","大氣化學","洪惠敏",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758,"CH","2020-05-12 23:39:13"
"107-2_20930110","大氣動力學一","郭鴻基",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738,"CH","2020-05-12 23:39:13"
"107-2_20930120","大氣動力學二","郭鴻基",0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,655,"CH","2020-05-12 23:39:13"
